8 215 4.0
10 215 4.0
13 4 4.0
22 255 4.0
27 213 4.0
36 1 4.0
39 17 4.0
63 11 4.0
70 211 4.0
85 11 4.0
86 233 4.0
99 220 4.0
104 4 4.0
120 251 4.0
129 251 4.0
136 644 4.0
158 7 4.0
172 246 4.0
183 206 4.0
192 318 4.0
225 212 4.0
226 236 4.0
244 7 4.0
251 205 4.0
278 1023 4.0
288 7 4.0
302 235 4.0
302 236 4.0
304 187 4.0
322 217 4.0
323 704 4.0
325 10 4.0
331 9 4.0
337 236 4.0
347 101 4.0
354 5 4.0
361 1101 4.0
369 1207 4.0
372 207 4.0
374 2 4.0
379 7 4.0
382 217 4.0
383 214 4.0
418 210 4.0
428 246 4.0
440 214 4.0
447 7 4.0
448 469 4.0
454 216 4.0
461 7 4.0
461 245 4.0
473 215 4.0
478 1299 4.0
481 7 4.0
487 245 4.0
499 2 4.0
500 239 4.0
519 245 4.0
539 206 4.0
569 255 4.0
571 217 4.0
589 255 4.0
598 17 4.0
617 215 4.0
618 211 4.0
642 11 4.0
643 218 4.0
644 777 4.0
646 365 4.0
650 638 4.0
668 245 4.0
680 17 4.0
687 17 4.0
705 234 4.0
754 11 4.0
767 234 4.0
768 215 4.0
807 17 4.0
817 216 4.0
825 1234 4.0
835 11 4.0
847 1195 4.0
859 3 4.0
867 215 4.0
892 1136 4.0
895 211 4.0
896 239 4.0
909 206 4.0
911 753 4.0
931 239 4.0
945 8 4.0
946 2 4.0
951 4 4.0
955 5 4.0
992 1436 4.0
997 9 4.0
998 189 4.0
1013 234 4.0
1037 7 4.0
1055 234 4.0
1057 2 4.0
1090 13 4.0
1111 1847 4.0
1115 206 4.0
1122 206 4.0
1132 245 4.0
1142 217 4.0
1144 212 4.0
1152 84 4.0
1153 430 4.0
1154 10 4.0
1170 13 4.0
1180 728 4.0
1190 13 4.0
1201 249 4.0
1203 4 4.0
1208 1934 4.0
1216 215 4.0
1230 9 4.0
1230 244 4.0
1230 253 4.0
1245 17 4.0
1286 1925 4.0
1294 1977 4.0
1295 13 4.0
1304 1 4.0
1317 253 4.0
1318 235 4.0
1360 2 4.0
1361 7 4.0
1372 13 4.0
1391 7 4.0
1418 2 4.0
1422 236 4.0
1451 3 4.0
1458 236 4.0
1489 210 4.0
1490 1340 4.0
1492 6 4.0
1494 13 4.0
1494 215 4.0
1505 218 4.0
